ad,ed,foldenauer,morales,stringer,mcguire,wiley,prince,chang,garcia,adams,wright jr,donovan,yang,taylor,writein
25,52,3,2,7,0,15,0,4,8,27,0,1,50,0,0
25,53,6,2,7,2,4,0,5,9,54,0,4,103,2,2
25,54,3,9,2,2,13,0,2,18,67,0,3,30,1,0
25,55,4,3,5,0,4,0,8,7,13,0,2,46,1,0
25,56,0,1,1,1,6,0,2,15,8,0,3,49,1,0
25,57,0,1,3,0,13,1,2,14,12,0,1,56,0,0
25,58,1,1,10,2,9,0,3,14,31,0,4,21,0,0
25,59,3,2,5,2,17,0,4,25,18,0,7,66,1,0
25,60,0,1,1,1,11,0,1,14,17,0,4,21,0,1
25,61,1,0,7,1,9,0,3,20,34,0,5,32,0,0
25,62,0,1,2,1,5,0,0,8,20,0,0,41,0,0
25,63,1,2,6,1,4,0,0,12,16,0,3,42,0,0
25,64,1,3,1,1,17,0,1,11,18,0,2,29,0,0
25,65,0,2,4,0,13,2,1,23,28,1,3,38,0,0
25,66,0,0,0,0,0,0,0,1,1,0,0,0,0,0
25,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,68,1,3,1,0,8,0,2,8,15,0,2,50,1,2
25,69,0,0,2,0,0,0,1,4,23,0,0,35,0,0
25,70,0,0,0,0,14,0,2,1,32,0,1,8,1,0
25,71,1,2,10,6,21,0,2,22,34,1,5,38,1,1
25,72,0,2,6,2,10,0,4,11,16,1,4,34,0,1
25,73,1,2,5,2,10,0,1,26,15,0,3,31,1,0
25,74,1,4,6,2,6,0,1,5,14,0,2,58,0,1
25,75,0,0,12,1,11,0,0,27,15,0,3,33,0,0
25,76,1,0,8,1,9,0,0,13,23,0,0,16,0,0
25,77,0,0,4,1,6,0,0,18,17,0,1,32,0,0
25,78,0,0,1,1,4,1,0,8,8,0,2,18,1,0
25,79,0,0,4,3,8,0,0,3,7,0,2,42,0,0
26,1,0,0,3,0,2,0,1,6,13,0,2,20,0,1
26,2,0,0,1,1,1,0,0,2,1,0,3,1,0,0
26,3,0,2,16,0,14,2,1,22,23,0,6,35,0,2
26,4,1,2,8,0,7,1,4,25,12,0,3,24,0,2
26,5,2,1,6,2,9,1,3,11,16,0,1,24,0,0
26,6,0,1,5,2,14,0,3,35,16,0,1,27,1,0
26,7,0,0,5,1,3,0,2,18,8,0,1,22,0,1
26,8,0,1,19,6,14,0,3,35,31,0,3,39,0,0
26,9,0,0,20,4,15,1,2,44,28,0,7,41,0,1
26,10,1,2,15,2,18,0,4,46,30,0,6,40,0,0
26,11,0,1,8,2,7,0,5,29,24,0,3,42,0,1
26,12,0,1,5,4,19,0,3,27,20,0,3,24,1,0
26,13,0,1,13,2,10,0,1,17,18,0,6,36,0,1
26,14,1,1,8,6,10,2,3,23,19,0,6,19,1,0
26,15,0,1,22,1,14,1,0,45,41,0,4,23,0,1
26,16,1,0,21,8,7,0,1,56,31,0,5,24,0,1
26,17,0,0,24,2,14,1,0,18,23,0,7,24,0,0
26,18,1,1,4,1,6,0,0,15,18,0,6,19,1,0
26,19,0,1,12,4,8,1,0,21,26,0,1,21,1,0
26,20,0,1,23,9,24,0,0,65,39,0,5,35,1,1
26,21,0,3,22,3,7,0,2,38,26,0,3,31,1,0
