ad,ed,silwa,mateo,writein_rep,foldenauer,morales,stringer,mcguire,wiley,prince,chang,garcia,adams,wright jr,donovan,yang,taylor,writein_dem
41,98,0,0,0,0,2,4,2,7,0,0,4,83,0,3,10,0,0
42,2,0,0,0,1,4,3,4,82,2,3,26,80,0,4,6,0,0
42,3,0,0,0,1,7,6,1,100,0,2,23,82,0,3,5,1,0
42,6,0,0,0,0,8,6,3,121,2,3,36,65,0,3,17,2,0
42,7,0,0,0,2,7,6,4,124,2,1,20,125,0,4,11,2,0
42,12,0,0,0,0,1,3,2,34,0,0,2,99,0,3,6,1,0
42,14,0,0,0,0,7,6,0,46,1,0,3,94,0,0,5,0,0
42,17,0,0,0,3,5,5,0,40,1,2,8,46,1,0,2,0,1
42,18,0,0,0,0,3,13,3,104,1,0,29,85,0,6,11,1,0
42,22,0,0,0,2,5,3,0,86,0,1,13,128,1,4,4,1,0
42,29,0,0,0,0,8,8,8,60,0,3,14,114,0,3,8,2,0
42,31,0,0,0,1,6,6,3,73,0,2,10,97,0,2,5,0,0
42,32,0,0,0,0,1,2,3,10,0,0,2,33,0,3,1,1,0
42,39,0,0,0,0,0,7,2,47,0,0,7,169,1,1,11,1,1
42,41,0,0,0,0,2,5,4,45,2,0,11,192,0,3,10,1,1
42,42,0,0,0,0,3,2,8,38,1,0,5,144,0,4,11,0,0
42,43,0,0,0,2,0,8,1,29,2,0,6,113,1,5,3,1,0
42,44,0,0,0,1,2,1,1,20,0,0,3,75,1,2,5,0,1
42,45,0,0,0,0,0,1,3,35,1,0,4,117,0,4,7,0,1
42,48,0,0,0,1,7,10,2,63,0,0,35,131,0,6,12,3,0
42,50,0,0,0,0,0,5,0,41,1,1,5,127,0,6,6,1,1
42,55,0,0,0,3,4,9,5,72,0,0,29,86,0,4,9,0,1
42,56,0,0,0,3,0,0,2,25,0,1,6,137,0,5,5,1,0
42,57,0,0,0,4,4,13,3,49,0,0,16,161,0,4,10,2,1
42,74,0,0,0,0,1,2,2,25,0,1,5,127,0,3,6,0,0
42,79,0,0,0,1,1,6,1,66,6,0,14,115,0,3,5,1,0
42,81,0,0,0,2,3,4,6,31,0,0,7,81,0,6,6,1,0
43,1,0,0,0,0,8,11,5,148,0,0,31,86,1,1,12,2,0
43,3,0,0,0,1,7,5,2,138,2,3,35,108,2,3,5,1,0
43,4,0,0,0,2,10,7,5,107,2,1,38,84,0,4,8,0,0
43,6,0,0,0,0,3,14,5,110,4,1,27,84,0,3,4,0,0
43,9,0,0,0,1,5,4,2,57,0,0,18,93,2,1,2,3,0
43,10,0,0,0,0,1,2,3,25,0,0,3,68,0,0,1,0,0
43,16,0,0,0,0,15,7,1,83,1,2,23,119,0,0,4,1,0
43,18,0,0,0,0,2,11,1,138,1,2,39,117,2,3,3,0,0
43,19,0,0,0,0,9,2,0,76,6,5,14,77,0,0,5,0,0
43,24,0,0,0,0,5,9,1,127,0,0,23,81,1,4,5,0,0
43,25,0,0,0,0,1,9,2,85,0,0,13,107,0,3,11,1,0
43,31,0,0,0,0,8,11,6,97,1,1,13,204,2,5,18,1,0
43,32,0,0,0,2,5,4,6,68,2,0,9,132,1,0,7,1,0
43,33,0,0,0,1,11,5,6,95,0,0,8,184,1,4,9,0,0
43,35,0,0,0,0,8,3,1,117,4,2,21,113,2,4,12,1,1
43,41,0,0,0,0,8,3,1,125,1,1,31,65,0,0,5,1,0
43,44,0,0,0,0,6,9,1,92,4,0,28,86,0,5,5,1,0
43,46,0,0,0,2,4,7,2,144,6,1,22,103,0,2,3,1,1
43,48,0,0,0,0,7,1,1,55,2,2,6,73,1,2,3,1,0
43,52,0,0,0,1,2,9,3,29,0,0,4,166,0,4,9,1,0
43,55,0,0,0,1,3,5,4,49,2,1,4,182,1,4,6,0,0
43,72,0,0,0,0,4,5,1,93,4,1,21,75,2,1,2,1,0
43,73,0,0,0,0,12,13,3,115,2,2,94,82,0,5,6,0,1
43,79,0,0,0,1,0,1,1,17,0,0,2,71,0,0,5,0,0
43,80,0,0,0,0,4,3,5,68,3,3,20,60,1,4,1,0,0
43,82,0,0,0,0,5,8,2,95,4,2,40,74,0,1,8,0,0
43,86,0,0,0,0,4,2,2,76,2,2,20,13,0,1,4,1,0
43,87,0,0,0,0,8,4,4,141,3,0,34,71,0,5,4,0,0
44,38,0,0,0,0,7,18,1,145,5,1,113,30,0,4,7,0,0
44,47,0,0,0,1,2,4,0,31,0,0,9,8,0,2,1,0,0
44,64,0,0,0,0,1,6,1,47,1,1,53,19,0,1,10,0,0
49,67,0,0,0,1,1,0,0,6,0,2,10,13,0,1,16,0,0
50,17,0,0,0,1,4,4,2,67,1,2,22,61,0,1,14,0,0
50,25,0,0,0,0,6,1,0,42,0,0,26,5,0,1,6,0,0
50,47,0,0,0,0,9,4,8,91,1,0,76,11,0,4,25,0,0
50,49,0,0,0,0,3,3,3,48,1,1,21,13,0,1,8,0,0
50,53,0,0,0,0,11,7,2,56,2,0,37,20,0,3,19,0,0
50,56,0,0,0,0,2,1,0,17,1,0,9,9,0,1,16,0,0
50,62,0,0,0,4,4,3,2,6,0,0,1,54,0,2,39,2,0
50,78,0,0,0,0,2,0,0,1,0,1,0,65,0,1,116,1,0
50,84,0,0,0,0,0,0,1,27,0,0,8,10,1,0,13,0,0
50,85,0,0,0,0,5,2,0,28,0,1,10,1,0,0,9,0,0
50,89,0,0,0,0,3,7,7,128,2,2,54,52,0,0,6,0,0
50,90,0,0,0,1,6,5,0,95,1,1,33,22,0,1,10,0,0
50,93,0,0,0,0,2,1,0,26,1,0,7,10,0,1,1,2,0
51,36,0,0,0,2,8,6,2,69,0,1,49,22,0,2,13,1,0
51,44,0,0,0,0,3,1,0,22,1,0,21,7,0,1,2,0,0
51,49,0,0,0,0,10,7,1,97,9,2,105,38,2,4,10,0,0
51,54,0,0,0,3,4,3,3,42,1,1,19,44,0,2,4,1,1
51,55,0,0,0,0,12,6,1,95,5,0,44,12,0,2,11,0,0
