ad,ed,silwa,mateo,writein
33,3,4,0,1
33,4,6,6,1
33,5,4,0,1
33,6,8,5,0
33,7,25,7,0
33,8,18,5,0
33,9,20,6,0
33,10,11,11,0
33,11,25,9,1
33,12,6,1,1
33,13,9,8,0
33,14,6,3,0
33,15,11,4,0
33,16,3,1,0
33,17,15,3,0
33,18,5,2,2
33,19,3,3,1
33,20,2,4,0
33,21,3,3,0
33,22,2,0,0
33,23,2,2,0
33,24,2,2,0
33,25,3,4,0
33,26,2,2,1
33,27,1,0,1
33,28,1,0,0
33,29,0,0,0
33,30,0,0,0
33,31,0,0,0
33,32,1,0,0
33,33,0,0,0
33,34,0,0,0
33,35,0,0,0
33,36,0,0,0
33,37,0,0,0
33,38,0,0,0
33,39,1,0,0
33,40,0,0,0
33,41,1,0,0
33,42,0,0,0
33,43,4,0,1
33,44,0,0,0
33,45,1,0,0
33,46,0,0,1
33,47,1,0,0
33,48,2,0,0
33,49,5,0,0
33,50,0,0,0
33,51,3,2,1
33,52,1,3,0
33,53,0,1,0
33,54,2,0,0
33,55,1,0,0
33,56,0,1,0
33,57,0,0,0
33,58,0,0,1
33,59,2,0,0
33,60,3,0,1
33,61,0,0,0
33,62,0,0,0
33,63,0,0,0
33,64,3,1,0
33,65,0,1,0
33,66,0,0,0
33,67,0,1,0
33,68,0,0,0
33,69,0,0,0
33,70,1,0,0
33,71,0,0,0
33,72,0,0,0
33,73,0,0,0
33,74,5,1,0
33,75,4,1,0
33,76,2,0,0
33,77,0,1,0
33,78,0,0,0
33,79,1,0,0
34,1,0,2,0
34,2,4,0,0
34,3,5,0,0
34,4,0,0,0
34,5,1,4,0
34,6,1,0,0
34,7,0,1,0
34,8,7,8,0
34,9,6,6,0
34,10,5,1,0
34,11,0,1,0
34,12,1,3,0
34,13,3,2,0
34,14,8,2,3
34,15,6,1,0
34,16,12,11,0
34,17,2,5,0
34,18,0,0,0
34,19,9,5,1
34,20,5,4,0
34,21,2,0,0
34,22,8,2,2
34,23,7,3,1
34,24,11,2,0
34,25,7,4,1
34,26,4,3,0
34,27,12,3,1
34,28,2,0,0
34,29,7,0,1
34,30,0,0,0
34,31,2,1,0
34,32,2,3,1
34,33,1,1,0
34,34,0,0,0
34,35,3,1,0
34,36,2,0,0
34,37,7,4,1
34,38,7,4,0
34,39,2,2,0
34,40,7,9,0
34,41,5,10,0
34,42,4,2,0
